src/app.tsx:67	prose	Could not load preferences.
src/commands/actions/edit.ts:36	prose	No document is open.
src/commands/actions/edit.ts:41	prose	No document is open.
src/commands/actions/file.ts:39	prose	Document saved.
src/commands/actions/file.ts:61	prose	No document is open.
src/commands/actions/file.ts:66	prose	Document opened.
src/commands/actions/file.ts:70	prop:title	Could not open recent Markdown file.
src/commands/actions/file.ts:79	prose	Folder opened.
src/commands/actions/file.ts:83	prop:title	Could not open recent folder.
src/commands/actions/file.ts:90	prose	Document created.
src/commands/actions/file.ts:91	prose	Could not create document.
src/commands/actions/file.ts:96	prose	Document opened.
src/commands/actions/file.ts:102	prose	Folder opened.
src/commands/actions/file.ts:134	prose	Could not open file location.
src/commands/actions/file.ts:153	prose	Document closed.
src/commands/actions/file.ts:154	prose	Could not close document.
src/commands/actions/file.ts:159	prose	Folder closed.
src/commands/actions/file.ts:160	prose	Could not close folder.
src/commands/actions/file.ts:168	prose	Could not close window.
src/commands/actions/file.ts:175	prose	No recent items are available.
src/commands/actions/file.ts:179	prose	No document is open.
src/commands/actions/file.ts:181	prose	The saved document is clean.
src/commands/actions/file.ts:190	prose	The active document has no file path.
src/commands/actions/file.ts:195	prose	The active file is not available in the current sidebar.
src/commands/actions/file.ts:201	prose	No folder context is open.
src/commands/actions/help.ts:16	prose	Could not open DevTools.
src/commands/actions/help.ts:32	prose	Could not open the link.
src/commands/actions/navigator.ts:44	prose	Could not create file.
src/commands/actions/navigator.ts:44	prose	Could not create folder.
src/commands/actions/navigator.ts:60	prose	Could not rename item.
src/commands/actions/navigator.ts:71	prose	Could not delete file.
src/commands/actions/navigator.ts:71	prose	Could not delete folder.
src/commands/actions/navigator.ts:87	prose	Path copied.
src/commands/actions/navigator.ts:89	prose	Could not copy path.
src/commands/actions/navigator.ts:99	prose	Could not open location.
src/commands/actions/view.ts:30	prose	Could not update zoom.
src/commands/actions/view.ts:57	prose	No folder context is open.
src/commands/actions/view.ts:61	prose	The article navigator is refreshing.
src/commands/actions/view.ts:99	prose	Could not update fullscreen mode.
src/commands/actions/view.ts:142	prose	No folder context is open.
src/commands/actions/view.ts:148	prose	Zoom is already at maximum.
src/commands/actions/view.ts:151	prose	Zoom is already at minimum.
src/commands/actions/view.ts:154	prose	Zoom is already reset.
src/commands/actions/view.ts:177	prose	No folder context is open.
src/commands/actions/view.ts:180	prose	No folder context is open.
src/commands/hooks/useAppCommands.ts:117	prose	Command failed.
